adaptationists,adj. (在进化和遗传中或在政治方面)能动适应的，善于适应的
adaptations,n. 适应( adaptation的复数形式 ); 适合; 改编; 改编本
adaptative,a. 可适应的
adapted,a. 适合的
adapted for,"为…而改编的,适合…"
adapted milk,[医] 适应乳(适于婴儿消化的)
adaptedness,适应性
adapter,"n. 适应者, 改编者, 接合器\n[计] 衔接器; 适配器, 适配卡"
adapter check,[计] 适配器检查
adapter computer system,[计] 自适应计算机系统
adapter control block,[计] 衔接器控制块
adapter plate,[机] 接装板
adapter sleeve,[机] 接头套筒
adapter tube,[医] 接管(牛角管)
adapterization,"拾声, 拾音"
adapters,n. 适配器；连接物（adapter的复数）
adaptic bandage,[医] 适意绷带
adapting,[计] 自适应
adapting flange,[化] 连接法兰; 配接法兰
adapting form,[化] 承插式
adapting piece,[化] 连接件
adaption,"n. 适应, 改编本, 适应性的变化, 适合"
adaption of the budget,[经] 核定预算
adaptionist,[网络] 适应者
adaptions,"(adaption 的复数) n. 适应, 改编本, 适应性的变化, 适合"
adaptitude,特殊适应[适合]性
adaptive,"a. 适应的, 能适应的"
adaptive algorithm,[计] 自适应算法
adaptive array,[计] 自适应阵列
adaptive automatic equalizer,[计] 自适应自动均衡器
adaptive automaton,[计] 自适应自动机
adaptive channel allocation,[计] 自适应信道分配
adaptive communication,[计] 自适应通信
adaptive computer,[计] 自适应计算机
adaptive control,[计] 自适应控制\n[化] 自适应控制
adaptive control of constraint,[计] 限制式自适应控制
adaptive control sequence,[计] 自适应控制序列
adaptive control system,[计] 自适应控制系统
adaptive control systems,[化] 适应性控制系统
adaptive controller,[计] 自适应控制器\n[化] 适应控制器
adaptive converter,[计] 自适应转换器
adaptive decisions,[经] 适应性决定(策)
adaptive decoding,[计] 自适应译码
adaptive delta modulation,[计] 自适应增量调制
adaptive enzyme,"[化] 适应酶\n[医] 诱导酶, 适应酶"
adaptive equalization,[计] 自适应均衡
adaptive equalizer,[计] 自适应均衡器
adaptive estimation,[计] 自适估计
adaptive immunization,[化] 继承免疫作用
adaptive learning,"[计] 自适应学习, 适配学习"
adaptive linear element,[计] 自适应线性元件\n[化] 线性适应元
adaptive logic,[计] 自适应逻辑
adaptive maintenance,[计] 适应性维护
adaptive method,[计] 自适应方法
adaptive model,[计] 自适应模型
adaptive multiplexer,[计] 自适应多路复用器
adaptive optics, 自适应光学
adaptive optimal control,[计] 自适应优化控制
adaptive optimization,[计] 自适应优化
adaptive organization,[计] 自适应结构
adaptive prediction,[化] 适应预报
adaptive procedure,[计] 自适应过程
adaptive process,[计] 自适应过程
adaptive production system,[计] 自适应产生式系统
adaptive radiation, [遗]适应性辐射
adaptive reception,[计] 自适应接收
adaptive routing,[计] 自适应路由选择
adaptive servosystem,[计] 自适应伺服系统
adaptive system,[计] 自适应系统
adaptive system theory,[电] 调适性系统理论
adaptive telemetering system,[化] 适应遥测系统
adaptive telemetry,[计] 自适应遥测
adaptive testing,[计] 适应测试
adaptive threshold control,[计] 自适应阈值控制
adaptive thresholding,[计] 自适应阈
adaptive time-sharing,[计] 自适应分时
adaptive tree-walk protocol,[计] 自适应走树协议
adaptive value,[机] 适应值
