limited means,"[法] 有限方法, 有限经费, 特定手段",,,,,0,0,,,
limited miscibility,[化] 极限溶混性,,,,,0,0,,,
limited monarchy,[法] 君主主宪政体,,,,,0,0,,,
limited obligation bond,[经] 有限担保债券,,,,,0,0,,,
limited open mortgage,[经] 有限敝口抵押,,,,,0,0,,,
limited open-end mortgage,[经] 有限敝口抵押,,,,,0,0,,,
limited optimization,[计] 有限优化,,,,,0,0,,,
limited order,[经] 有限指令,,,,,0,0,,,
limited owner,[法] 有限制的所有人,,,,,0,0,,,
limited page allocation,[计] 有限页面分配,,,,,0,0,,,
limited participation,[法] 有限参予,,,,,0,0,,,
limited partner,[经] 有限责任合伙人,,,,,0,0,,,
limited partnership,"[经] 有限合伙公司, 两合公司",,,,,0,0,,,
limited partnership certificate,[法] 有限公司证书,,,,,0,0,,,
limited payment,[法] 有限支付,,,,,0,0,,,
limited payment life policy,[经] 有限偿还人寿保险单,,,,,0,0,,,
limited period of imprisonment,[法] 有期徒刑,,,,,0,0,,,
limited plastic flow,[化] 有限塑性流动,,,,,0,0,,,
limited policy,[经] 限制保险单,,,,,0,0,,,
limited price,[经] 限价,,,,,0,0,,,
limited price order,[经] 限制价格定货,,,,,0,0,,,
limited price variety store,[经] 限价百货商店,,,,,0,0,,,
limited probate,[法] 有限制的遗嘱检认,,,,,0,0,,,
limited production,[化] 有限生产,,,,,0,0,,,
limited prohibition,[法] 有限制的禁令,,,,,0,0,,,
limited purpose computer,[计] 专用计算机,,,,,0,0,,,
limited recognition,[法] 有限制的承认,,,,,0,0,,,
limited recourse project financing,[经] 有限追索权项目贷款,,,,,0,0,,,
limited recursion,[计] 有限递归法,,,,,0,0,,,
limited responsibility clause,[经] 责任范围条款,,,,,0,0,,,
limited review, 限制性审计，中间财务报表审计,,,,,0,0,,,
limited service wholeasaler,[经] 有限服务批发商,,,,,0,0,,,
limited signal,[电] 极限讯号,,,,,0,0,,,
limited sovereignty,[法] 有限主权,,,,,0,0,,,
limited space-charge accumlation diode,[电] 有限空间电荷聚积二极管,,,,,0,0,,,
limited space-charge accumulat-ion,[电] 极限空间电荷累积,,,,,0,0,,,
limited stability,[电] 极限稳定度,,,,,0,0,,,
limited succession,[法] 限定继承,,,,,0,0,,,
limited suffrage,[法] 有限制的选举权,,,,,0,0,,,
limited swelling,[化] 有限溶胀,,,,,0,0,,,
limited tax bonds,[经] 限制税款债券,,,,,0,0,,,
limited tender,[经] 限制投标,,,,,0,0,,,
limited value,[计] 有限值,,,,,0,0,,,
limited war,[法] 有限战争,,,,,0,0,,,
limited-access data,[计] 有限访问数据,,,,,0,0,,,
limited-life asset,[经] 有限寿命的资产,,,,,0,0,,,
limited-line store,[经] 有限品种商店,,,,,0,0,,,
limited-purpose computer,[计] 专用计算机,,,,,0,0,,,
limitedly,adv. 有限地,,,,,0,0,,,
limitedness, 有限性,,,,,0,0,,,
limiter,"n. 限制物, 限幅器\n[计] 限幅器",,,,,43571,41473,s:limiters,,
limiter circuit,[电] 限幅器,,,,,0,0,,,
limiters,"(limiter 的复数) n. 限制物, 限幅器\n[计] 限幅器",,,,,0,0,0:limiter/1:s,,
limites,limit的复数,,,,,0,0,0:limite/1:s,,
limiting,a. 限制的\n[电] 极限,,,,,10333,9516,0:limit/1:i/i:limiting,,
limiting amplifier,[电] 限制放大器,,,,,0,0,,,
limiting angle,"[医] 极限角, 临界角",,,,,0,0,,,
limiting angle of sky wave,[电] 天波的限角,,,,,0,0,,,
limiting association concentration,[化] 极限缔合浓度(发生加溶作用的最低浓度),,,,,0,0,,,
limiting concentration,[化] 极限浓度; 极限稀释度,,,,,0,0,,,
limiting condition for operation,[化] 极限操作条件,,,,,0,0,,,
limiting conductivity,[化] 极限电导率; 当量电导率,,,,,0,0,,,
limiting current,[化] 极限电流,,,,,0,0,,,
limiting current density,[机] 极限电流密度,,,,,0,0,,,
limiting date,[化] 限制日期,,,,,0,0,,,
limiting density,[机] 极限密度,,,,,0,0,,,
limiting diffusion current,[化] 极限扩散电流,,,,,0,0,,,
limiting dilution,[化] 极限浓度; 极限稀释度,,,,,0,0,,,
limiting equivalent conductivity,[化] 极限电导率; 当量电导率,,,,,0,0,,,
limiting error,[计] 极限误差\n[化] 极限误差,,,,,0,0,,,
limiting factor,[化] 限制因素,,,,,0,0,,,
limiting function,[计] 极限函数,,,,,0,0,,,
limiting gas velocity,[化] 气体极限速度,,,,,0,0,,,
limiting inherent viscosity,[化] 特性粘度; 固有粘度,,,,,0,0,,,
limiting law,[机] 极限定律,,,,,0,0,,,
limiting load,[化] 极限负荷,,,,,0,0,,,
limiting material,[化] 浸灰材料(皮革),,,,,0,0,,,
limiting maximum stress,[化] 极限最大应力,,,,,0,0,,,
limiting melting point,[化] 极限熔点,,,,,0,0,,,
limiting modulus,[化] 极限模量,,,,,0,0,,,
limiting orifice,[机] 极限孔,,,,,0,0,,,
limiting resolving angle,[电] 限制分解角,,,,,0,0,,,
limiting screen,[机] 极限筛,,,,,0,0,,,
limiting sizing,[机] 极限筛分,,,,,0,0,,,
limiting speed,[化] 限制速率; 限制速度,,,,,0,0,,,
limiting staudinger function,[化] 特性粘度,,,,,0,0,,,
limiting strain,[化] 极限应变,,,,,0,0,,,
limiting stress,[化] 极限应力,,,,,0,0,,,
limiting sulci,[医] 界沟,,,,,0,0,,,
limiting surface,[化] 界面,,,,,0,0,,,
limiting temperature,[电] 限定温度,,,,,0,0,,,
limiting value,[化] 极限值,,,,,0,0,,,
limiting velocity,[化] 极限速度,,,,,0,0,,,
limiting velovity diode,[电] 限速二极管,,,,,0,0,,,
limiting viscosity,[化] 特性粘度,,,,,0,0,,,
limiting viscosity number,[化] 特性粘数,,,,,0,0,,,
limitless,"a. 无限的, 无界限的",,1,,,13891,13518,,,
limitlessly,adv. 无限地;无限制地,,,,,0,0,,,
limitlessness,n. limitless（无限的）的变形,,,,,0,43034,,,
limitron,电子比较仪,,,,,0,0,,,
limitrophe,a. 位于边界上的,,,,,0,0,,,
limitrophes,节缘系,,,,,0,0,,,
limitrophic,管制营养的,,,,,0,0,,,
limitrophic area,[医] 营养管制区,,,,,0,0,,,
limits,n. 范围；领土；极限（limit的复数）,,,,,0,0,0:limit/1:s3,,
limits of autoignition,[化] 自燃性极限,,,,,0,0,,,
limits of explosion,[化] 爆炸极限,,,,,0,0,,,
limits of flammability,[化] 可燃性极限,,,,,0,0,,,
limits of inflammability,[化] 可燃性极限,,,,,0,0,,,
limits of tolerance,[化] 容许极限; 容许量,,,,,0,0,,,
limits table,[经] 限额表,,,,,0,0,,,
limits to importing national currencies,[经] 本币现钞入境限额,,,,,0,0,,,
limivorous,a. (蚯蚓等动物)吞食泥土的,,,,,0,0,,,
limk,"n. 李志明先生,TTE软件的作者",,,,,0,0,,,
limma,[音]半(音)度,,,,,0,0,,,
limmer,"[机] 浇斗覆盖物, 草灰",,,,,0,0,,,
limn,"vt. 描写, 描绘",,,,gre,0,29113,p:limned/d:limned/i:limning/3:limns,,
Limnaea,[医] 椎实螺属,,,,,0,0,,,
limnaeid,n. [动]椎实螺,,,,,0,0,,,
Limnanthemum nymphoides,[医] 菜,,,,,0,0,,,
Limnanthemum S. P.,[医] 菜属,,,,,0,0,,,
Limnatis,[医] 软水蛭属,,,,,0,0,,,
Limnebiidae,苔甲科,,,,,0,0,,,
limned,v. 画( limn的过去式和过去分词 ); 勾画; 描写; 描述,,,,,0,0,0:limn/1:pd,,
limnemia,疟疾恶病质,,,,,0,0,,,
limnemic,[医] 疟疾恶病质的,,,,,0,0,,,
limnephilid,沼石蛾,,,,,0,0,,,
Limnephilidae,沼石蛾科,,,,,0,0,,,
limner,"n. 画家, 画匠",,,,toefl,0,0,s:limners,,
limners,"(limner 的复数) n. 画家, 画匠",,,,,0,0,0:limner/1:s,,
limnetic,a. 淡水的,,,,,0,0,,,
Limnias,沼轮虫属,,,,,0,0,,,
limnic,"a. 湖泊的,湖沼的,湖栖的",,,,,0,0,,,
Limnichidae,沼花甲科,,,,,0,0,,,
Limnichthyidae,沼鱼科,,,,,0,0,,,
limnigraph,自记水位计,,,,,0,0,,,
limnimeter,自记湖泊水位计,,,,,0,0,,,
limning,v. 画( limn的现在分词 ); 勾画; 描写; 描述,,,,,0,0,0:limn/1:i,,
limnite,沼铁磺,,,,,0,0,,,
limnium,湖沼群落,,,,,0,0,,,
limnobiology,"n. 湖泊生物学, 湖沼生物学, 淡水生物学",,,,,0,0,,,
limnobiotic,淡水生的,,,,,0,0,,,
Limnobium,沼萍属,,,,,0,0,,,
Limnocryptes minima,[网络] Limnocryptes最小值,,,,,0,0,,,
limnocryptophyte,沼泽植物,,,,,0,0,,,
limnodium,沼泽群落,,,,,0,0,,,
Limnodium spongia,[网络] 海蜇,,,,,0,0,,,
Limnodromus,[网络] 半蹼鹬属；长嘴鹬,,,,,0,0,,,
Limnodromus griseus,[网络] 短嘴半蹼鹬；长嘴滨鸟；短喙长嘴半蹼鹬,,,,,0,0,,,
Limnodromus scolopaceus,[网络] 长嘴半蹼鹬；长嘴鹬,,,,,0,0,,,
limnograph,n. 湖水水位测量计,,,,,0,0,,,
limnologic,"a. 湖沼学的, 湖泊学的",,,,,0,0,,,
limnological,"a. 湖泊学的,湖沼学的",,,,,0,0,,,
limnologically,"adv. limnologic, limnological的变形",,,,,0,0,,,
limnologist,"n. 湖泊学家,湖沼学家",,,,,0,0,s:limnologists,,
limnologists,"(limnologist 的复数) n.湖泊学家,湖沼学家",,,,,0,0,0:limnologist/1:s,,
limnology,"n. 湖沼学, 湖泊学\n[医] 淡水生物学",,,,,0,42455,,,
Limnomedusae,淡水水母亚目,,,,,0,0,,,
limnophilous,[医] 池沼生活的,,,,,0,0,,,
limnophilus,沼泽种类,,,,,0,0,,,
limnoplankton,池沼浮游生物,,,,,0,0,,,
limnoquartzite,淡水石英岩,,,,,0,0,,,
Limnos,[网络] 利姆诺斯；利姆诺斯岛；利姆诺斯机场,,,,,0,0,,,
limns,v. 画( limn的第三人称单数 ); 勾画; 描写; 描述,,,,,0,0,1:3/0:limn,,
limo,[医] 柠檬,,,,,24679,9300,s:limos,,
limocitrin,柠檬黄素,,,,,0,0,,,
limocitrol,甲基柠檬素,,,,,0,0,,,
limocrocine,泥红菌素,,,,,0,0,,,
limoctonia,[医] 饿死,,,,,0,0,,,
Limoge,n. (Limoge)人名；(法)利摩日,,,,,27391,0,s:limoges,,
Limoges,n. (法国)里摩日瓷器,,,,,0,0,0:limoge/1:s,,
limon,"柠檬柑, 柠檬",,,,,0,0,,,
limonada,[医] 柠檬水[剂],,,,,0,0,,,
limoncillo,柠檬赛澳树,,,,,0,0,,,
limone,n. (Limone)人名；(意)利莫内,,,,,0,0,,,
limonene,n. 柠檬油精,,,,,0,0,,,
limoniform,[植]柠檬状的,,,,,0,0,,,
limonile,深土的,,,,,0,0,,,
limonin,柠檬苦素,,,,,0,0,,,
